id,adaptibility,danceability,duration,energy,explicit,happening,instrumentalness,loudness,mode,naturality,positiveness,release_date,reputation,speechiness,tempo,time_signature,total_tracks
AA5aMeYP1klLv1BA,5,58.8,372005.0,48.5,False,0.0609,0.0122,-15.29,5,0.858,0.398,1970,32,,95.061,3,12
Wr3MLRGLm08yjrGN,1,62.6,368183.0,30.9,True,0.117,1.31e-05,-15.794,6,0.85,0.369,2023-10-06,83,0.0433,117.94,4,23
XtEbP8zIOloM6r5I,5,77.60000000000001,732725.0,66.9,False,0.0863,1.83e-05,-12.622,6,0.0236,0.915,1983-04-01,40,0.0662,111.116,4,16
NW5kIVzyoiV0zJmJ,5,37.1,355317.0,91.6,True,0.134,2.46e-05,-4.1080000000000005,6,0.00139,0.319,2023-08-18,55,0.15,160.023,4,2
1uhYBNywheqCdzrg,7,44.2,497383.0,33.4,False,0.253,0.000694,-15.53,6,0.567,0.346,2023-09-22,50,0.0347,170.725,3,1
fyKA5eI6JWQiTBju,7,65.7,359285.0,87.1,False,0.102,0.0,-4.228,6,0.0031,0.532,2023-01-27,77,0.0675,114.974,4,18
Bdpl6SJGn3YPwFt9,7,49.7,456725.0,8.6,False,0.124,0.00106,-22.158,6,0.974,0.171,1960-01-01,55,0.0443,129.332,4,10
FztrB5BsjIK3tNDD,3,6.65,332873.0,30.3,False,0.158,0.929,-31.694000000000003,5,0.981,0.0391,2022-04-11,11,0.0431,71.239,4,1
36dwZtP9EPqsocSM,7,67.30000000000001,459017.0,75.8,False,0.341,0.0,-2.264,6,0.039,0.542,2012,80,0.158,135.956,4,17
RXkfxRp0JKXo9gm6,3,16.8,846885.0,16.900000000000002,False,0.11,0.891,-36.598,5,0.928,0.0577,2009-03-19,38,0.0463,74.039,3,17
zTdwSMadciZgdTbv,8,,468057.0,,True,0.0799,0.000552,-2.808,6,0.168,0.815,2007-04-02,79,0.0632,110.621,4,17
A5zZhOuiYAhAqdod,6,67.30000000000001,383151.0,59.2,False,0.336,0.0,-5.392,5,0.127,0.705,2004-03-23,69,0.0537,,3,21
Quz7Pz8T11mwqw0G,0,32.9,261497.0,14.099999999999998,False,0.128,0.878,-45.674,5,0.981,0.21,2023-09-22,47,0.0415,66.108,4,1
hpdWmiZTCx62TwC9,10,67.4,292005.0,4.45,False,0.112,0.927,-40.628,6,0.605,0.156,2023-10-15,48,0.0441,111.987,4,1
RtDrJucioe4bpBoC,4,63.7,401385.0,64.3,False,0.142,1.8e-06,-8.142,6,0.13,0.533,2022-10-21,93,0.0519,,4,13
ihNAuum06Fvbru6A,11,71.7,332351.0,54.2,True,0.26,0.0,-15.762,5,0.318,0.594,2023-08-09,46,0.143,109.943,4,1
8oZnSDKP8BzD8YkB,0,60.3,499205.0,88.6,False,0.295,0.000171,-9.602,5,0.0418,0.727,1978-10-13,68,0.0465,114.045,4,10
MwZEHYyaw03L/vP4,8,76.2,365719.0,89.5,False,0.203,0.145,-4.1240000000000006,6,0.00618,0.755,2023-08-11,78,0.0737,125.979,4,1
EyG0IXFBbj3LfJOU,0,51.6,267365.0,24.8,False,0.163,0.000248,-21.782,6,0.804,0.403,1966,45,0.0388,111.63,4,12
1CIbRkPWJSlMIDEO,6,47.3,471097.0,89.8,False,0.173,0.0618,-4.593999999999999,5,0.00783,0.808,1978-10-10,84,0.0561,96.556,4,10
AhL5pIgsFr/6dfrn,10,42.7,399753.0,27.800000000000004,False,0.135,2.22e-05,-12.66,6,0.47,0.374,2023-04-12,65,0.0331,85.633,3,2
tl3p8zAd7QFRA07W,4,86.1,385391.0,49.6,True,0.107,2.57e-06,-6.074,5,0.382,0.543,2023-02-28,75,0.0357,116.008,4,20
BJUEHT4g4923aHtj,0,66.60000000000001,318593.0,42.1,False,0.135,0.0,-9.192,6,0.434,0.688,2023-03-24,27,0.0607,92.381,4,1
wKf/TO7kXKwG3VXs,2,22.0,530271.0,,False,0.139,0.184,-0.5720000000000001,6,6.4e-06,0.391,2006-09-08,39,0.203,147.212,4,12
dwRaCvaexxLN9PIH,7,73.9,308215.0,47.5,False,0.147,0.842,-14.726,6,0.0987,0.444,2023-10-13,46,0.137,95.056,4,1
QDqJfb5pTQP1YqLJ,5,50.2,268065.0,3.72,False,0.115,0.935,-20.26,5,0.921,0.31,2023-03-05,52,0.0962,118.255,1,1
GWY/+nEL7hFS84St,0,77.7,380725.0,65.8,False,0.0901,0.0,-5.382,6,0.0767,0.633,2019-08-23,87,0.054,110.048,4,18
ClZ3Im9KgkaQJlx2,11,47.7,313311.0,43.3,False,0.151,0.000195,-7.946,5,0.689,0.611,1968-04-18,77,0.0247,82.52,3,12
x9dYswJR+mxWpTBZ,2,80.2,576591.0,75.6,False,0.0521,0.00765,-16.582,5,0.0843,0.963,1979-06,79,0.0349,131.715,4,9
+V+e7+2NS0GSM0cx,8,34.8,509525.0,89.8,False,0.11,3.73e-05,-8.67,6,0.0367,0.2,1998-10-12,63,0.0701,81.268,4,13
v2zy0wwst6qEPI5D,1,55.3,441151.0,87.2,False,0.0659,0.0,-0.6639999999999997,5,0.198,0.638,2009-04-07,75,0.0782,172.138,4,11
DxLdeeoRlQuCBVX1,11,31.2,407243.0,85.1,False,0.314,0.00112,,5,0.00434,0.187,2023-10-11,47,,192.039,4,2
uP3gzSVBDPe3uCLY,0,59.4,253671.0,24.2,False,0.109,0.919,-18.186,6,0.828,0.0919,2022-12-09,36,0.03,90.054,4,1
XGdl3ccK1v9+Hw3x,11,58.4,350989.0,40.400000000000006,False,0.103,0.00579,-12.196000000000002,6,0.863,,2017-10-20,68,0.0456,197.878,4,2
K0ybgm3PburUuK9p,2,80.10000000000001,384005.0,49.4,True,0.17,0.00011,-12.68,6,0.0308,0.815,2023-04-07,41,0.0825,124.983,4,12
FXJgKer2qxRlECqm,9,83.8,410937.0,79.4,False,0.0575,0.0,-11.489999999999998,5,0.22,0.962,1981-04-07,76,0.0531,132.446,4,25
EHw3Fp1hIs6rEY9C,1,67.2,489685.0,54.400000000000006,False,0.366,0.0,-8.166,6,0.267,0.443,2002-11-12,36,0.0505,91.005,4,14
ABVCN6ia2vwhxata,9,53.900000000000006,808671.0,83.39999999999999,False,0.119,0.000516,-9.918,5,0.000646,0.339,1991-08-12,67,0.0364,131.383,4,12
htZ81pi2712oRJKe,5,75.9,411295.0,78.7,False,0.409,0.000512,-3.606,5,0.0191,0.619,2021-06-25,52,0.0673,124.023,4,13
X/2Xqcq5EJ/8e4uq,1,45.9,221405.0,17.8,False,0.0985,0.946,-35.684,5,0.791,0.0398,2023-03-20,51,,70.496,4,20
tzkNwBs1efimZPVC,2,67.4,310405.0,25.4,False,0.0914,0.279,-16.036,5,0.423,0.139,2022-11-18,43,0.0531,149.906,4,1
GapFGw1/80vGNFcA,9,43.8,593017.0,35.9,False,0.0968,0.00118,-24.204,6,0.735,0.901,1967,33,0.0326,101.703,4,12
7X0133KgFN9/9+w1,7,69.3,424885.0,36.7,False,0.0771,0.128,,5,0.042,0.717,1971-05-01,26,0.0422,156.505,3,19
fUKJ13qeKdKpxnFz,10,80.0,436957.0,77.10000000000001,True,0.229,0.0,-8.276,5,0.0531,0.886,2022-05-18,67,0.123,118.991,4,3
mq0I1QVDvem7Fmf1,5,64.2,356253.0,83.39999999999999,False,0.509,0.0,-6.058,5,0.328,0.606,2012-03-02,53,0.269,127.881,4,1
1IVP43A+v28IEuVD,2,47.4,452271.0,87.4,False,0.12,0.0,-5.986000000000001,6,0.0461,0.592,2023-06-29,63,0.0823,153.03,4,1
9uw1gBwrE15YD91Z,9,34.5,331187.0,96.3,False,0.0558,0.000765,,6,1.2e-05,0.342,2023-01-13,28,0.0773,145.583,4,6
pjbFs052pVs7q4Ev,0,39.7,467657.0,54.400000000000006,True,0.348,1.97e-06,-7.568,6,0.377,0.341,2023-07-12,47,0.0555,87.81,4,1
xaTshbplxNvSvrWn,6,57.2,480297.0,74.5,False,0.154,0.0,-7.836,5,0.184,0.593,2003-07-15,53,0.367,160.037,4,12
4eS+z1KLPaZ9uJ+T,11,80.60000000000001,417145.0,75.3,False,0.0545,0.5,-7.494,5,0.031,0.846,2021-04-30,61,0.0534,122.99,4,9
P6M7dnMV/JrX0Ttu,8,68.7,439019.0,,False,0.0782,0.00055,-19.808,5,0.899,0.257,2023-08-30,59,0.0313,110.978,4,3
cCV/1FFqq9dOxVHW,9,58.1,302591.0,62.4,False,0.0411,0.0,-11.692,6,0.0987,0.637,1970,73,0.0777,139.714,4,10
W2r6Oh76Lviipd8r,9,43.7,511285.0,71.3,False,0.0946,0.00967,-6.396000000000001,6,0.00945,0.77,2010-04-29,58,0.0353,93.618,4,15
+qvAb/RcnKaJ0Eqe,8,24.3,475925.0,3.25,False,0.108,0.879,-41.758,6,0.992,0.0404,2021-01-25,52,0.0454,74.26,3,122
sZPSGLq0pwkpSnOG,4,46.400000000000006,424085.0,2.16,False,0.0974,0.863,-46.792,6,0.987,0.235,2022-11-18,57,,101.965,4,1
qsrCz3MBE+8WrCjv,1,71.0,274105.0,49.8,False,0.126,0.933,-19.996,6,0.577,,2023-06-02,46,,86.995,4,1
Gyrz/bFOt4c/u6r8,10,79.80000000000001,456005.0,44.3,False,0.065,4.78e-06,,6,0.437,0.481,2015-04-10,60,0.12,110.027,4,7
DktwbCu0Hu7/S+H5,11,81.39999999999999,282585.0,77.0,False,0.136,2.8e-06,-5.302,5,0.00193,0.665,2023-09-08,61,0.161,124.062,4,1
pZgaINqiakM4rLdf,0,62.5,466573.0,25.4,False,0.107,0.0599,-19.238,6,0.897,0.458,2023-01-19,28,0.0367,114.517,4,1
meLafULBQhVrV8Zr,5,57.8,267005.0,8.6,False,0.116,0.896,-48.528,5,0.542,0.537,2023-10-13,53,0.0742,159.884,4,1
pvZcDeiXjkMF1QTl,8,32.4,537493.0,91.1,False,0.2,0.265,-5.167999999999999,6,1.93e-05,0.474,2023-06-30,59,0.061,157.189,4,20
DOX1aLQ2yBy5m8l4,11,67.2,458165.0,59.3,False,0.214,0.0,,5,0.0223,0.438,2015-10-09,70,0.0304,98.02,4,16
aSBwP5fbP+cHIvCs,9,41.6,445481.0,96.4,False,0.473,0.000875,-0.9340000000000002,6,2.35e-05,0.212,2022-07-01,63,0.112,157.925,4,20
X8Iju8lvXVSOYGs7,1,78.4,256005.0,20.7,False,0.245,0.007,-17.076,6,0.0222,0.373,2023-09-29,54,0.37,90.005,4,1
PHgMHI4StIu0N5BB,0,67.30000000000001,402937.0,37.7,False,0.332,0.0,-23.282,6,0.586,0.713,1929,59,0.0697,88.973,4,14
SX6+gdYIfLEAoNzo,11,78.0,405145.0,81.10000000000001,False,0.066,6.13e-05,-4.662000000000001,5,0.233,0.655,2023-03-03,40,0.261,107.174,4,1
WY1rIjDVcagIGEnF,5,67.9,362031.0,72.8,True,0.107,0.0,-1.1840000000000002,5,0.159,0.46,2019-10-04,72,,152.001,4,18
jKuAN3xNwZZGVSUY,2,49.2,464565.0,19.5,False,0.108,0.0108,-23.774,6,0.94,0.161,2017-09-15,53,0.0272,89.777,4,10
xCRVB1oeT1CKuUPi,2,58.8,388667.0,84.1,False,0.0369,0.000511,-3.7479999999999993,6,0.144,0.682,2016-04-15,56,0.0802,92.992,4,9
N/oXIGEpkUAWIkCj,9,17.1,464111.0,14.2,False,0.103,0.887,-38.94,6,0.71,0.0303,2019-07-19,46,0.041,122.559,4,39
Lz3aQbBpF5UJqJCb,2,68.5,424135.0,62.7,False,0.177,0.0,-5.486000000000001,6,0.0509,0.739,2018-07-25,20,0.0493,111.973,4,1
15jMRemJi7oXJ9eE,0,61.4,415657.0,85.6,False,0.372,0.00916,-5.558,6,0.0869,0.858,2020-09-25,18,0.13,95.189,4,4
aIgRNzDz+aoZwJYn,2,83.8,722191.0,80.60000000000001,False,0.354,0.00203,,6,0.213,0.846,2008-01-01,61,0.0408,123.121,4,15
2T3sbYkqWp/sF4iS,11,91.6,357005.0,69.5,False,0.0894,0.0,-4.718,5,0.136,0.758,2022-04-22,45,0.139,120.003,4,1
PY+5durHg3kG/mQh,7,61.0,450145.0,87.9,False,0.221,8.4e-05,-8.96,6,0.0325,0.837,2015-11-13,38,0.0479,164.046,4,10
NmgnvL3ahEMKDZv6,6,22.6,210579.0,8.44,False,0.117,0.867,-49.756,6,0.988,0.0759,2023-05-19,38,0.308,75.643,4,21
nLeqOXrY/XIUp+hH,4,61.6,307697.0,19.0,False,0.0985,0.955,-34.12,5,0.846,0.0903,2023-03-10,43,0.0453,155.98,4,1
fcnQYXSK4faskLMu,4,,368749.0,72.1,False,0.153,0.0,,6,0.189,0.473,2023-09-29,59,0.0389,157.892,4,13
zrSaa5wyDgQvLYOl,8,75.5,339461.0,74.5,False,0.122,3.93e-05,-9.314,5,0.0256,0.86,2023-10-20,32,0.228,150.024,4,2
Pp1cOa4aUEtDlvx/,6,30.1,573475.0,95.7,False,0.0948,0.166,-5.465999999999999,6,0.000379,0.266,2020-07-24,38,0.111,119.995,4,1
evZ1AEulZ/oY+1JY,11,59.2,310751.0,40.5,False,0.1,2.05e-05,,6,0.575,0.538,2023-07-14,46,0.0797,76.574,4,8
YIahh3lhs0Tl8I4G,5,74.1,579929.0,49.1,False,0.141,0.283,-17.832,6,0.606,0.503,2023-06-28,59,0.0512,150.553,4,1
B9lU1DmLWE/61k3J,7,41.9,437449.0,84.5,True,0.113,0.000278,-6.756,6,0.00105,0.194,2023-03-17,50,0.0469,161.804,4,2
oVp5uuXyowcMn2Mr,9,41.7,509071.0,63.0,False,0.0543,0.0134,,6,0.0209,0.341,2007-06-15,68,0.0898,94.214,4,13
mhsq6QlYKKBlRDV1,0,46.9,438277.0,76.4,False,0.336,0.646,-6.49,6,0.222,0.489,2023-08-04,16,0.0322,94.986,4,1
y8Y5l+A/0Pwdk6M3,8,67.2,453205.0,52.0,False,0.115,0.0,-10.494,6,0.859,0.37,2014-11-17,89,0.0353,120.001,4,16
+za2CrUhoNH+uwyn,5,77.3,276005.0,77.5,True,0.141,0.693,-3.34,5,0.0177,0.569,2023-10-10,50,0.23,160.023,4,1
s0vG3NxdaxXWdJGO,4,72.5,,31.5,False,0.0869,0.00259,-11.96,5,0.72,0.298,2014-01-14,47,0.0369,126.39,3,10
TyP0hi+J4oJCtaeC,9,18.7,436089.0,99.1,False,0.299,0.0,-0.6440000000000001,6,5.1e-06,0.0701,2023-05-11,30,0.292,173.966,4,1
KojEiCWvTGXty+Nb,1,75.2,300111.0,28.7,False,0.0642,0.0,-16.35,6,0.563,0.681,2020-04-17,52,0.283,139.15,4,22
OjnJTzMfUTqlhahh,7,63.9,424271.0,67.80000000000001,False,0.221,1.45e-06,-5.039999999999999,6,0.44,0.531,2009-09-01,69,0.0278,106.966,4,10
mtiLJlXXXj7ts9nF,7,52.7,307525.0,89.60000000000001,False,0.587,0.000245,-4.103999999999999,6,0.00772,0.547,2021-06-04,45,0.0346,88.064,4,12
4IZRS8RvjT1mfYPX,2,19.2,,94.4,False,0.095,2.5e-05,-4.538,6,8.07e-05,0.289,2021-03-19,60,0.0635,,4,10
/f1xjygfHq+1KYU9,11,79.80000000000001,348755.0,99.8,False,0.146,0.8,-3.006,5,0.00404,0.685,2023-06-02,45,0.0504,127.985,4,1
4IxjLcIg3/b95pTn,9,58.7,435417.0,93.9,False,0.0732,0.00365,-4.736000000000001,5,0.0069,0.592,2020-04-03,56,0.0745,136.96,4,11
X4cuCNl4ThpCjhQ4,0,22.8,394671.0,42.7,False,0.592,0.0167,-12.478000000000002,5,0.752,0.192,2022-09-16,76,0.0363,180.345,4,1
LfUCHlw4exAAo/Jg,10,50.1,346613.0,87.2,True,0.238,9.78e-05,-9.814,5,0.000165,0.643,2020-04-17,49,0.125,159.971,4,15
