id,a1,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a2,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a3,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a4,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a5,a50,a6,a7,a8,a9
AA5aMeYP1klLv1BA,744010.0,0.061,0.22945,47.5305,21.755,233.7841,114084.125,,744010.0,0.0104676,-145.31730000000002,47.5305,,,2.512,0.5917,-7.645,3457.44,1.194,,55.1755,1.716,233.7841,0.03045,-1.1574,-899.0519999999999,,0.4594499999999999,0.158404,-55.1755,,117.6,9036.593721,145.5,-28.864,0.1530150753768844,1.069878093036384e-06,2.95365,0.7361639999999999,,0.0001283386457117,-741.5649999999999,176.2173,0.796,-233.608,,97.47199999997974,38.45140310642131,,2.574
Wr3MLRGLm08yjrGN,736366.0,6.549999999999999e-05,0.243,58.97,23.403,249.450436,29503.629,1.3028,736366.0,1.1135e-05,-92.349,58.97,31.32165,0.00187489,2.438,0.00040479,-7.897,3918.76,1.107,0.0014012944983818,66.867,1.7,249.450436,0.0585,-1.1069607,-988.7044,1.33797,0.4835,0.136161,-66.867,5.672299999999999e-07,125.2,13909.8436,92.7,-29.888,0.3170731707317073,1.0022190052229462e-06,3.6153,0.7224999999999999,5.106802,1.110734271663558e-07,-488.0346,187.449,0.738,-248.924,0.2948,14.376000000018394,3.251403106421307,0.02165,2.55
XtEbP8zIOloM6r5I,1465450.0,9.15e-05,0.50065,55.558,32.489000000000004,159.314884,299418.30900000007,3.3952,1465450.0,4.3188000000000003e-07,-200.44110000000003,55.558,38.8331,0.00438244,1.8772,0.00122427,-6.311,6021.760000000001,2.745,0.0009895366218236,61.869,0.0472,159.314884,0.04315,-2.7449451,-979.4672,4.42878,0.05495,0.8372250000000001,-61.869,1.21146e-06,155.20000000000002,12346.765456,200.7,-25.1968,0.0943169398907103,1.248763178545839e-06,5.7734700000000005,0.00055696,7.355879199999999,1.6469275351884517e-07,-844.4118000000001,232.54110000000003,1.83,-306.74,0.0804,88.57600000017555,75.25140310642132,0.0331,0.0708
NW5kIVzyoiV0zJmJ,710634.0,0.000123,0.2265,80.0115,16.496000000000002,16.875664000000004,768575.2960000002,0.676,710634.0,3.4194e-08,-274.398,80.0115,18.625,0.0225,0.64078,0.00225336,-2.0540000000000003,1376.41,0.957,0.0016375545851528,82.0655,0.00278,16.875664000000004,0.067,-0.9569262,-152.40680000000003,13.74,0.067695,0.101761,-82.0655,3.69e-06,74.2,25607.360529,274.8,-8.213220000000002,0.4200626959247649,8.977898608847874e-07,12.274400000000002,1.9321e-06,24.00345,1.5372790161414298e-07,-376.29280000000006,110.898,0.638,-147.124,-0.0639999999999999,64.81100000000879,124.65140310642133,0.075,0.00417
1uhYBNywheqCdzrg,994766.0,0.00347,0.2995,85.3625,14.335,241.18090000000004,37259.704,1.2452,994766.0,0.0003934979999999,-99.441,85.3625,22.11735,0.00120409,1.826,0.0231795999999999,-7.765000000000001,1953.6400000000003,1.0379999999999998,0.0010389221556886,93.1275,1.134,241.18090000000004,0.1265,-1.035918,-686.426,1.15898,0.41,0.1197159999999999,-93.1275,2.40818e-05,88.4,29147.025625,100.2,-29.926,0.73121387283237,6.956409849150453e-07,8.4502,0.3214889999999999,5.9241575,4.065016839947283e-06,-518.702,131.841,0.692,-175.41600000000005,0.8732,50.88800000002084,8.251403106421307,0.01735,1.7009999999999998
fyKA5eI6JWQiTBju,718570.0,0.0,0.317,57.487,30.736,17.875984,660776.3109999999,1.858,718570.0,0.0,-260.994,57.487,32.88375,0.00455625,1.0702,0.0,-2.114,4316.490000000001,1.596,0.0007749712973593,59.601,0.0062,17.875984,0.051,-1.596,-277.7796,5.87925,0.05255,0.283024,-59.601,0.0,131.4,13219.020676,261.29999999999995,-8.4498,0.1917293233082706,1.4807186495400587e-06,8.884199999999998,9.61e-06,7.760745000000001,0.0,-368.2588,196.794,1.064,-260.672,0.1379999999999999,93.39300000004005,115.6514031064213,0.03375,0.0093
Bdpl6SJGn3YPwFt9,913450.0,0.0053,0.1475,64.666,13.771,490.97696400000007,636.0559999999999,0.5068,913450.0,0.00103244,-25.428,64.666,24.87215,0.00196249,2.29,0.0091159999999999,-11.079,2470.09,0.513,0.0051511627906976,75.745,1.948,490.97696400000007,0.062,-0.50982,-1101.2526,0.38098,0.5489999999999999,0.029241,-75.745,4.6958e-05,99.4,16726.766224,25.8,-42.368,0.7251461988304093,3.744047293228968e-07,1.0664,0.948676,5.7294076,8.195960783100857e-06,-190.5588,148.728,0.342,-198.116,0.3188,63.47300000002724,-41.34859689357869,0.02215,2.922
FztrB5BsjIK3tNDD,665746.0,4.6450000000000005,0.09855,35.6195,-12.522000000000002,1004.509636,27818.127,-0.0159999999999999,665746.0,0.911349,-90.426,35.6195,3.34655,0.00185761,2.0402,28.1487,-15.847,44.2225,0.1173,0.0014224422442244,51.4665,1.962,1004.509636,0.079,2.6697,-210.7651,1.30593,0.5695,0.00152881,-51.4665,0.0400399,13.3,5074.995121000001,90.9,-61.426,4.040920716112532,1.1746221531935605e-07,4.7874,0.962361,3.0704009,0.0130406097783517,-960.3282000000002,19.476,0.0782,-26.4436,0.4596,94.07962500000002,2.0514031064213114,0.02155,2.943
36dwZtP9EPqsocSM,918034.0,0.0,0.4415,67.978,32.51800000000001,5.125696000000001,435519.51199999993,1.536,918034.0,0.0,-226.377,67.978,33.729000000000006,0.024964,1.162,0.0,-1.132,4529.290000000002,1.626,0.0020844327176781,69.11,0.078,5.125696000000001,0.1705,-1.626,-152.36720000000005,11.9764,0.19,0.293764,-69.11,0.0,134.60000000000002,18484.033936,227.4,-4.45,0.6291512915129152,1.1807841539637966e-06,25.8478,0.001521,21.481048,0.0,-171.61120000000005,200.87700000000007,1.084,-267.03200000000004,0.7320000000000001,21.21700000017881,93.0514031064213,0.079,0.1169999999999999
RXkfxRp0JKXo9gm6,1693770.0,4.455,0.08385,37.0195,-9.899,1339.413604,4826.809000000002,0.0456,1693770.0,0.826848,-50.370000000000005,37.0195,8.42315,0.00214369,1.9714,15.057900000000002,-18.299,282.24,0.1731,0.0027396449704142,55.3185,1.856,1339.413604,0.055,2.4999,-614.8464,0.7824700000000001,0.519,0.00332929,-55.3185,0.0412533,33.6,5481.773521,50.7,-71.34,1.9064124783362213,6.813203681727745e-08,1.859,0.8611840000000001,3.4280057,0.0120341981928443,-618.5062,50.07000000000001,0.1154,-66.9692,0.2548,41.63200000000052,-24.74859689357869,0.02315,2.7840000000000003
